Name,ESG ,E,S,G
BTC,C,E,A,A
ETH,A,A,D,C
USDT,A,A,A,A
USDC,A,A,A,A
BNB,A,A,A,D
ADA,A,A,A,A
XRP,C,A,D,D
SOL,C,A,D,D
DOGE,C,E,D,A
DOT,C,A,D,D
DAI,A,A,A,A
TRX,C,A,D,D
SHIB,C,A,D,D
AVAX,A,A,D,C
LTC,C,E,A,A
FTT,A,A,D,D
XLM,C,A,D,D
LINK,A,A,C,D
MATIC,A,A,A,D
BCH,C,E,A,A
UNI,A,A,C,C
ALGO,A,A,C,C
VET,A,A,A,D
HBAR,C,A,D,D
SAND,A,A,D,C
MANA,A,A,A,A
AXS,A,A,D,D
XTZ,A,A,D,C
EOS,A,A,D,C
AAVE,A,A,A,C
HT,C,A,D,D
GRT,A,A,C,C
FTM,A,A,C,C
PAXG,A,A,A,A
ZIL,A,A,D,D
BAT,A,A,A,C
CHZ,A,A,C,A
ENJ,A,A,A,D
LRC,A,A,A,C
GALA,C,A,D,D
COMP,A,A,C,A
